edge_id,node_a,node_b,s1_star
626,277,279,0.75040846
627,278,279,0.83916187
628,275,279,0.71355600
629,280,281,0.85034780
630,280,282,0.89421361
631,281,282,0.83033257
632,90,283,1.01967904
633,90,284,0.51967179
634,283,284,0.50000725
635,90,285,0.53939389
636,283,285,0.51967179
637,284,285,1.01967904
638,190,257,0.84398096
639,190,286,0.80016076
640,257,286,0.88860338
641,190,287,0.78407915
642,257,287,0.76310972
643,190,288,0.84586043
644,257,288,0.67900469
645,286,287,0.68639995
646,286,288,0.73476700
647,287,288,0.44259591
648,112,217,0.64369021
649,112,291,-0.23431066
650,217,291,0.12200147
651,112,290,-0.12197650
652,290,291,0.88769364
653,217,290,0.23428568
654,249,292,0.74612168
655,250,292,0.73167524
656,249,293,0.87202910
657,250,293,0.73655474
658,292,293,0.84488731
659,2,294,0.72070000
660,3,294,0.52973578
661,2,295,0.70223734
662,3,295,0.56580157
663,2,297,0.59651158
664,3,297,0.49461332
665,294,295,1.01466988
666,2,296,0.54017044
667,294,296,0.82890704
668,294,297,0.91583210
669,295,296,0.80177959
670,295,297,0.90480314
671,296,297,1.08947185
672,3,296,0.38296966
673,124,298,0.62457761
674,124,299,0.70719704
675,298,299,0.93032986
676,124,300,0.74203342
677,298,300,0.91204334
678,299,300,0.99597304
679,303,304,0.73520308
680,303,308,0.87223376
681,304,308,0.76432519
682,303,305,0.90160026
683,305,308,0.83405119
684,303,306,0.76987404
685,306,308,0.70654883
686,303,307,0.90568968
687,307,308,0.73605960
688,304,305,1.07197271
689,304,306,0.68897659
690,304,307,0.80514929
691,305,306,0.99763969
692,305,307,0.83712257
693,306,307,0.71449290
694,94,173,0.81680562
695,94,311,0.70156327
696,96,311,0.72094607
697,173,311,0.69557184
698,2,190,0.79081442
699,2,222,0.75862159
700,190,222,0.78354866
701,2,258,0.86756918
702,190,258,0.87944603
703,2,264,0.74664970
704,2,265,0.67458934
705,2,288,0.50333751
706,2,312,0.50266976
707,190,312,0.80247240
708,2,313,0.59210009
709,190,313,0.77595114
710,222,264,0.77379473
711,222,265,0.80249510
712,222,288,0.66688960
713,222,312,0.83576720
714,258,264,0.85597308
715,258,265,0.61573247
716,258,288,0.66609554
717,258,312,0.62178977
718,264,288,0.70325227
719,264,312,0.80681456
720,264,313,0.79591804
721,265,288,0.54978416
722,265,312,0.67375940
723,265,313,0.68877274
724,288,312,0.85887926
725,288,313,0.98266509
726,312,313,1.01446317
727,222,258,0.85484164
728,222,313,0.74039294
729,258,313,0.62759314
730,314,315,1.17497462
731,314,316,1.03851731
732,315,316,0.77317502
733,314,317,0.97206418
734,315,317,0.86516877
735,314,318,0.98432316
736,315,318,0.83163530
737,316,317,0.84314651
738,317,318,0.98987383
739,316,318,1.05732098
740,159,322,0.71654010
741,164,322,0.51976127
742,159,323,0.56180650
743,164,323,0.29009099
744,322,323,0.43923818
745,325,326,0.78316655
746,325,327,0.74052428
747,326,327,0.68864164
748,325,328,0.85960373
749,327,328,0.77236651
750,326,328,0.75608996
751,329,330,1.07882380
752,329,331,0.73939588
753,330,331,0.81275147
754,334,335,0.66800332
755,334,336,0.76051507
756,335,336,0.99617583
757,337,338,0.95459553
758,337,339,0.80328519
